,Entry,Ref,Linkage formed,"Acceptor
size",(eq .),"Donor
size",(eq .).1,"Yield
(%)",a : B,"Glycosyl
Donor","Neighbouring
group",Activator,Solvent,temperature_C,donor_type,acceptor_type,solvent_smiles,donor_conf,lg,C2_smiles,activator,Major True,Minor True,Conf positive(%) True
13,62,171,Gal (1-3) GlcNAc,1,1,1,1.3,87,1:3,bromide,OAc,Hg(CN)2,"toluene,nitromethane",40,pyranose,O,"['Cc1ccccc1', 'C[N+](=O)[O-]  ']","[0, -1, 1, 1, 1]",*Br,*OC([CH3])=O,C(#N)[Hg]C#N ,1,1,75.0
14,209,50,Glc (1-2 / 3) All,1,0.9,1,1,94,1:3,imidate,OBn,BF3-OEt2,DCM,-30,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,1,1,75.0
15,300,172,Glc (1-6) Gal,1,1,1,1,69,1:3,tetrazol,OBn,BF3-OEt2,DCM,-20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,1,1,75.0
16,301,172,Glc (1-6) Gal,1,1,1,1,70,1:3,tetrazol,OBn,TMSOTf,DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,75.0
18,141,122,Gal (14) iDOA,2,(NR),2,(NR),59,1:4,imidate,OAc,TMSOTf,,,pyranose,O,,"[0, -1, 1, 1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,80.0
19,299,172,Glc (16) Gal,1,1,1,1,49,1:4,tetrazol,OBn,BF3-OEt2,THF,-20,pyranose,O,['C1CCOC1 '],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,1,1,80.0
20,308,172,Glc (16) Gal,1,1,1,1,58,1.4:1,tetrazol,OBn,TSA,DCM,39.6,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CC1=CC=C(C=C1)S(=O)(=O)O,-1,1,41.66666666666670
21,605,161,Man (1-6) Glc,1,1,2,1.9,43,1.4:1,chloride,OSugar,"HgBr2,Hg(CN)2",nitromethane,0,pyranose,O,['C[N+](=O)[O-]  '],"[0, 1, 1, -1, 1]",*Cl,[*]OC1C(O)C(O)C(O)C(O)O1,Br[Hg]Br.C(#N)[Hg]C#N ,-1,1,41.66666666666670
22,303,172,Glc (16) Gal,1,1,1,1,98,1.5:1,tetrazol,OBn,TMSOTf,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,40.0
23,307,172,Glc (16) Gal,1,1,1,1,75,1.5:1,tetrazol,OBn,TSA,DCM,0,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CC1=CC=C(C=C1)S(=O)(=O)O,-1,1,40.0
24,397,160,Glc [ SS ] (1 → 6) Glc,1,1,1,1.3,80,1.5:1,imidate,OAc,TESOTf,DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F,-1,1,40.0
25,177,125,GalNAc (1-4) Gal,3,1,1,5,91,1:5.5,xanthate,N3,PhSeOTf,EtCN,-78,pyranose,O,['CCC#N '],"[0, -1, 1, 1, 1]",[*]SC(SCC)=S,*N=[N+]=[N-],C1=CC=C(C=C1)[Se]OS(=O)(=O)C(F)(F)F,1,1,84.61538461538460
26,69,143,Gal (1-2) Xyl,1,1,1,2,53,1:6,imidate,OBz,TMSOTf,DCM,-20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC(=O)C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,85.71428571428570
27,320,149,Glc (16) Glc,2,1,1,1.2,79,1:7,bromide,OAc,Hg(CN)2,toluene,,pyranose,O,['Cc1ccccc1'],"[0, -1, 1, -1, 1]",*Br,*OC([CH3])=O,C(#N)[Hg]C#N ,1,1,87.5
28,297,155,Glc (1-6) Gal,1,1,2,1,25,1:7.3,n-pentenyl,OBn,"NIS,TESOTf",,,pyranose,O,,"[0, -1, 1, -1, 1]",[*]OCCCC=C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1CC(=O)N(C1=O)I .CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F,1,1,87.95180722891570
29,164,65,GalNAc (1 → 3) Gal,1,1,1,1.5,79,1:8,chloride,NPhth,"AgOTf,TMU",DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",*Cl,*N1C(=O)C2=[CH][CH]=[CH][CH]=C2C1=O,C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CN(C)C(=O)N(C)C,1,1,88.88888888888890
30,253,182,Glc (1-4) Glc,2,2.1,2,1,58,1.8:1,bromide,OSugar,"AgO,I2",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*Br,[*]OC1C(O)C(O)C(O)C(O)O1,O=[Ag].II  ,-1,1,35.714285714285700
31,80,179,Gal (1-3) Gal,1,1,1,1.1,83,1:9,SEt,OPMB,IDCP,"Et2O,DCE",-60,pyranose,O,"['CCOCC', 'C(CCl)Cl ']","[0, -1, 1, 1, 1]",[*]SCC,[*]OCC1=CC=C(OC)C=C1,CC1=C(C(=NC=C1)C)C.CC1=C(C(=NC=C1)C)C.[O-]Cl(=O)(=O)=O.[IH2+],1,1,90.0
32,213,49,Glc (1-2 / 3) Man,1,1,1,1.1,91,1:9,imidate,OBn,BF3-OEt2,,,pyranose,O,,"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,1,1,90.0
33,205,174,Glc (1 → 2) Man,2,1,1,2,69,1.9:1,bromide,OBn,"AgOTf,TMU",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CN(C)C(=O)N(C)C,-1,1,34.48275862068970
34,348,172,Glc (1-6) Glc,1,1,1,1,79,1:13,tetrazol,OBn,TMSOTf,MeCN,-20,pyranose,O,['CC#N'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,92.85714285714290
35,345,18,Glc (1-6) Glc,1,(NR),1,(NR),76,1:20,vinyl ether,OBn,TMSOTf,MeCN,-25,pyranose,O,['CC#N'],"[0, -1, 1, -1, 1]",[*]O/C(C)=C/C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,95.23809523809520
39,223,49,Glc (1-3) Gal,1,1,1,1.4,75,2:1,bromide,OBn,TBABr,,,pyranose,O,,"[0, -1, 1, -1, 1]",*Br,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] ,-1,1,33.33333333333330
40,306,172,Glc (16) Gal,1,1,1,1,54,2:1,tetrazol,OBn,TSA,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CC1=CC=C(C=C1)S(=O)(=O)O,-1,1,33.33333333333330
41,310,172,Glc (1-6) Gal,1,1,1,1,73,2:1,tetrazol,OBn,TSA,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CC1=CC=C(C=C1)S(=O)(=O)O,-1,1,33.33333333333330
42,663,40,Neu5Ac (2-6) Gal,2,1,1,1.7,90,2:1,SMe,H,"NIS,TfOH",MeCN,-40,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]SC,*[H],C1CC(=O)N(C1=O)I .O=S(=O)(O)C(F)(F)F,1,1,66.66666666666670
43,632,152,Neu5Ac (16) Gal,1,(NR),1,(NR),49,2.2:1,xanthate,H,"CH3SBr,AgOTf","MeCN,DCM",,pyranose,O,"['CC#N', 'CC(Cl)Cl']","[0, 0, -1, 1, -1]",[*]SC(SCC)=S,*[H],CSBr  .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,68.75
44,657,152,Neu5Ac (2-3) GalNAc,1,(NR),1,(NR),49,2.2:1,SMe,H,DMTST,MeCN,,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]SC,*[H],CS[S+](C)C.C(F)(F)(F)S(=O)(=O)[O-]  ,1,1,68.75
45,249,49,Glc (1-3 / 4) Gal 1,1,1,1,1.1,86,2:3,imidate,OBn,BF3-OEt2,,,pyranose,O,,"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,1,1,60.0
46,599,172,Man (1 → 6) Gal,1,1,1,1,97,2.4:1,tetrazol,OBn,AgOTf,DCM,0,pyranose,O,['CC(Cl)Cl'],"[0, 1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C(F)(F)(F)S(=O)(=O)[O-].[Ag+],-1,1,29.411764705882400
49,170,66,GalNAc (1 → 3) GalNAc,2,1,1,2,55,2.7:1,bromide,N3,"AgOTf,TMU",toluene,-10,pyranose,O,['Cc1ccccc1'],"[0, -1, 1, 1, 1]",*Br,*N=[N+]=[N-],C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CN(C)C(=O)N(C)C,-1,1,27.027027027027000
50,598,172,Man (16) Gal,1,1,1,1,92,2.9:1,tetrazol,OBn,TMSOTf,DCM,20,pyranose,O,['CC(Cl)Cl'],"[0, 1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,25.641025641025600
51,49,2,fUC (1-4) Glc,2,(NR),1,(NR),(NR),3:1,fluoride,OBn,"SnCl2,AgClO4,DTBP",Et2O,20,pyranose,O,['CCOCC'],"[0, 1, -1, -1, -1]",*F,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,Cl[Sn]Cl.[O-]Cl(=O)(=O)=O.[Ag+].CC(C)(C)C1=NC(=CC=C1)C(C)(C)C,1,1,75.0
52,596,172,Man (16) Gal,1,1,1,1,88,3:1,tetrazol,OBn,TMSOTf,MeCN,-20,pyranose,O,['CC#N'],"[0, 1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,25.0
53,665,23,Neu5Ac (2 → 6) Gal - hep,1,1,1,1.25,46,3:1,xanthate,H,"MSB,AgOTf",MeCN,-50,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]SC(SCC)=S,*[H],CSBr .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,75.0
54,666,23,Neu5Ac (2 → 6) Gal - hep,1,1,1,1.9,~ 60,3:1,SMe,H,"MSB,AgOTf",MeCN,-50,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]SC,*[H],CSBr .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,75.0
55,674,3,Neu5Ac (2-6) Glc,1,(NR),1,(NR),61,3:1,SMe,H,DMTST,MeCN,-40,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]SC,*[H],CS[S+](C)C.C(F)(F)(F)S(=O)(=O)[O-]  ,1,1,75.0
56,712,43,Rib [ 2d ] (1-4) Glc,1,NR,1,(NR),97,3:1,trichloro ethyl phosphite,H,Sn(OTf)2,Et2O,20,pyranose,O,['CCOCC'],"[0, 0, -1, -1, 0]",[*]OP(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,*[H],C(F)(F)(F)S(=O)(=O)O[Sn]OS(=O)(=O)C(F)(F)F.,-1,1,25.0
57,259,54,Glc (1-4) Glc,1,1.1,1,1,28,3:2,Me2P=S,OBn,"NIS,TfOH",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",S=P(C)(O[*])C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C1CC(=O)N(C1=O)I .O=S(=O)(O)C(F)(F)F,-1,1,40.0
58,363,7,Glc (1-6) Glc,1,1,1,2,80,3:2,SPyr,OBn,"Pd,AgOTf",DCM,,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",[*]SC1=NC=CC=C1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,[Pd]  .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],-1,1,40.0
59,713,43,Rib [ 2d ] (1 → 4) Rib [ 2d ],1,NR,1,(NR),38,3:2,trichloro ethyl phosphite,H,BF3-OEt2,"DCM,hexane",20,pyranose,O,"['CC(Cl)Cl', 'CCCCCC']","[0, 0, -1, -1, 0]",[*]OP(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,*[H],CCO(CC).[B-](F)(F)F,-1,1,40.0
60,388,160,Glc [ 5S ] (1 → 2) Glc,1,1.3,1,1,90,3.5:1,imidate,OAc,TESOTf,DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*OC([CH3])=O,CC[Si](CC)(CC)OS(=O)(=O)C(F)(F)F,-1,1,22.22222222222220
61,25,5,fUC (1-2) Gal,3,1,1,10,72,4:1,SMe,OBn,"TBABr,CuBr2,AgOTf",,,pyranose,O,,"[0, 1, -1, -1, -1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCCC[N+](CCCC)(CCCC)CCCC.[Br-] .[Cu](Br)Br .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,80.0
62,116,65,Gal (1-4) Gal,2,1,1,1.3,92,4:1,chloride,OBn,"AgOTf,TMU",DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",*Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CN(C)C(=O)N(C)C,-1,1,20.0
63,162,39,GalNAc (1 → 3) Gal,2,1,1,2.5,64,4:1,bromide,N3,"AgOTf,collidine","toluene,THF,dioxane",-10,pyranose,O,"['Cc1ccccc1', 'C1CCOC1 ', 'O1CCOCC1']","[0, -1, 1, 1, 1]",*Br,*N=[N+]=[N-],C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CC1=CC(=NC(=C1)C)C,-1,1,20.0
64,168,39,GalNAc (13) Gal,2,1,1,2.5,25,4:1,STol,N3,DMTSB,,,pyranose,O,,"[0, -1, 1, 1, 1]",[*]SC1=CC=C(C)C=C1,*N=[N+]=[N-],[B-](F)(F)(F)F.CS[S+](C)C ,-1,1,20.0
65,226,151,Glc (13) Glc,1,1.2,1,1,19,4: 1,sulfonamide,OBn,BF3-OEt2,,,pyranose,O,,"[0, -1, 1, -1, 1]",[O-]S(=O)(O[*])=O.C[NH+](C)C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,-1,1,20.0
66,227,151,Glc (13) Glc,1,1.2,1,1,48,4:1,sulfonamide,OBn,TMSOTf,,,pyranose,O,,"[0, -1, 1, -1, 1]",[O-]S(=O)(O[*])=O.C[NH+](C)C,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,20.0
67,402,42,GlcNAc (1 → 2) fUCNAc,1,1,1,1.4,21,4:1,SePh,N3,"NIS,TfOH","DCE,Et2O",0,pyranose,O,"['C(CCl)Cl ', 'CCOCC']","[0, -1, 1, -1, 1]",[*][Se]C1=CC=CC=C1,*N=[N+]=[N-],C1CC(=O)N(C1=O)I .O=S(=O)(O)C(F)(F)F,-1,1,20.0
68,413,42,GlcNAc (13) fUCNAc,1,1,1,1,40,4:1,imidate,N3,TMSOTf,"DCE,Et2O",0,pyranose,O,"['C(CCl)Cl ', 'CCOCC']","[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*N=[N+]=[N-],C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,20.0
69,414,42,GlcNAc (1-3) fUCNAc,2,1,1,1.6,26,4:1,SEt,N3,"NIS,TfOH","DCE,Et2O",0,pyranose,O,"['C(CCl)Cl ', 'CCOCC']","[0, -1, 1, -1, 1]",[*]SCC,*N=[N+]=[N-],C1CC(=O)N(C1=O)I .O=S(=O)(O)C(F)(F)F,-1,1,20.0
70,540,112,KDO (2-4) KDO,1,1,2,2,23,4:1,bromide,H,"Hg(CN)2,HgBr2",,,pyranose,O,,"[0, 0, 1, 1, 1]",*Br,*[H],C(#N)[Hg]C#N .Br[Hg]Br,-1,1,20.0
71,545,112,KDO (2-4) KDO,1,1,1,5,61,4:1,bromide,H,"Hg(CN)2,HgBr2",nitromethane,20,pyranose,O,['C[N+](=O)[O-]  '],"[0, 0, 1, 1, 1]",*Br,*[H],C(#N)[Hg]C#N .Br[Hg]Br,-1,1,20.0
72,633,152,Neu5Ac (16) Gal,1,1,1,2,71,4:1,xanthate,H,"CH3SBr,AgOTf","MeCN,DCM",,pyranose,O,"['CC#N', 'CC(Cl)Cl']","[0, 0, -1, 1, -1]",[*]SC(SCC)=S,*[H],CSBr  .C(F)(F)(F)S(=O)(=O)[O-].[Ag+],1,1,80.0
73,350,172,Glc (1-6) Glc,1,1,I,1,61,4.2:1,tetrazol,OBn,TMSOTf,Et2O,0,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,19.23076923076920
74,60,184,fUC (1-6) GlcNAc,4,1,1,1.5,49,5:1,SEt,OBn,IDCP,"DCE,Et2O",20,pyranose,O,"['C(CCl)Cl ', 'CCOCC']","[0, 1, -1, -1, -1]",[*]SCC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CC1=C(C(=NC=C1)C)C.CC1=C(C(=NC=C1)C)C.[O-]Cl(=O)(=O)=O.[IH2+],1,1,83.33333333333330
75,115,65,Gal (1-4) Gal,1,1,1,1.3,92,5:1,chloride,OBn,"AgOTf,TMU",DCM,-78,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, 1, 1]",*Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C(F)(F)(F)S(=O)(=O)[O-].[Ag+].CN(C)C(=O)N(C)C,-1,1,16.666666666666700
76,208,50,Glc (1-2 / 3) All,1,0.9,1,1,90,5:1,imidate,OBn,BF3-OEt2,DCM,-30,pyranose,O,['CC(Cl)Cl'],"[0, -1, 1, -1, 1]",*OC(=N)C(Cl)(Cl)Cl,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CCO(CC).[B-](F)(F)F,-1,1,16.666666666666700
77,641,30,Neu5 Ac (2 → 3) Gal,2,(NR),1,(NR),27,5:1,dibenzylphosphite,H,TMSOTf,MeCN,-40,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]OP(OCC1=CC=CC=C1)OCC2=CC=CC=C2,*[H],C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,83.33333333333330
78,206,95,Glc (1-2) Xyl,1,1,1,1.9,33,5:6,bromide,OAc,"Hg(CN)2,HgBr2",,,pyranose,O,,"[0, -1, 1, -1, 1]",*Br,*OC([CH3])=O,C(#N)[Hg]C#N .Br[Hg]Br,1,1,54.54545454545450
79,48,178,fUC (14) Deoxy Nojira,3,1,1,1.5,89,6:1,SMe,OBn,DMTST,Benzene,,pyranose,O,['C1=CC=CC=C1 '],"[0, 1, -1, -1, -1]",[*]SC,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,CS[S+](C)C.C(F)(F)(F)S(=O)(=O)[O-]  ,1,1,85.71428571428570
80,312,172,Glc (16) Gal,1,1,1,1,97,6:1,tetrazol,OBn,TMSOTf,Et2O,20,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,14.285714285714300
81,351,172,Glc (1-6) Glc,1,2,| 1,1,73,6:1,tetrazol,OBn,TMSOTf,Et2O,20,pyranose,O,['CCOCC'],"[0, -1, 1, -1, 1]",[*]OC1=NN=NN1,*O[CH2]C1=[CH][CH]=[CH][CH]=[CH]1,C[Si](C)(C)OS(=O)(=O)C(F)(F)F,-1,1,14.285714285714300
82,653,125,Neu5Ac (2-3) Gal,2,2,1,1,49,6:1,SMe,H,PhSeOTf,EtCN,20,pyranose,O,['CCC#N '],"[0, 0, -1, 1, -1]",[*]SC,*[H],C1=CC=C(C=C1)[Se]OS(=O)(=O)C(F)(F)F,1,1,85.71428571428570
83,659,30,Neu5 Ac (2-3) GlcNAc,2,1,1,1.2,44,6:1,dibenzylphosphite,H,TMSOTf,MeCN,-40,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]OP(OCC1=CC=CC=C1)OCC2=CC=CC=C2,*[H],C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,85.71428571428570
84,672,30,Neu5Ac (2 → 6) Glc,1,(NR),1,(NR),80,6:1,dibenzylphosphite,H,TMSOTf,MeCN,-40,pyranose,O,['CC#N'],"[0, 0, -1, 1, -1]",[*]OP(OCC1=CC=CC=C1)OCC2=CC=CC=C2,*[H],C[Si](C)(C)OS(=O)(=O)C(F)(F)F,1,1,85.71428571428570
